County_Name,State_Name,Land_Area,Population_Density,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019
Steele County,Minnesota,1100,85.8/sq mi (33.1/km2),36576,36581,36497,36568,36311,36363,36483,36599,36644,36787,36738,36649
Stevens County,Minnesota,1460,17.1/sq mi (6.6/km2),9726,9722,9705,9708,9733,9747,9852,9874,9810,9706,9752,9805
Swift County,Minnesota,1920,12.7/sq mi (4.9/km2),9783,9781,9754,9676,9632,9552,9486,9376,9442,9387,9323,9266
Todd County,Minnesota,2450,25.9/sq mi (10.0/km2),24895,24895,24898,24890,24653,24488,24350,24328,24381,24526,24570,24664
Traverse County,Minnesota,1490,5.78/sq mi (2.23/km2),3558,3558,3534,3489,3404,3402,3379,3373,3330,3304,3291,3259
Wabasha County,Minnesota,1350,41.3/sq mi (15.9/km2),21676,21665,21672,21610,21542,21566,21461,21387,21435,21590,21645,21627
Wadena County,Minnesota,1390,25.5/sq mi (9.8/km2),13843,13843,13816,13652,13607,13641,13589,13667,13550,13647,13723,13682
Waseca County,Minnesota,1100,44.4/sq mi (17.1/km2),19136,19138,19145,19185,19176,19036,18925,18926,18783,18713,18664,18612
Washington County,Minnesota,990,668/sq mi (258/km2),238136,238109,238930,241410,243682,245946,248501,250386,252502,255464,258899,262440
Watonwan County,Minnesota,1130,25.2/sq mi (9.7/km2),11211,11211,11194,11167,11115,11049,10982,11018,11002,10934,11007,10897
Wilkin County,Minnesota,1950,8.33/sq mi (3.22/km2),6576,6576,6591,6578,6592,6496,6462,6357,6323,6322,6244,6207
Winona County,Minnesota,1620,81.2/sq mi (31.4/km2),51461,51461,51435,51355,51343,51332,51059,50827,50861,50718,50735,50484
Wright County,Minnesota,1710,189/sq mi (73/km2),124700,124697,125093,126229,127249,128199,129798,130973,132324,134205,136313,138377
Yellow Medicine County,Minnesota,1970,13.0/sq mi (5.0/km2),10438,10438,10423,10284,10153,10078,9982,9837,9888,9836,9799,9709
Adams County,Mississippi,1200,66/sq mi (26/km2),32297,32300,32574,32435,32191,32111,32072,31561,31569,31462,31044,30693
Alcorn County,Mississippi,1000,92/sq mi (36/km2),37057,37062,37107,37282,37209,37281,37254,37276,37246,37165,36810,36953
Amite County,Mississippi,1900,18/sq mi (6.9/km2),13131,13136,13138,13142,12939,12856,12605,12553,12433,12448,12327,12297
Attala County,Mississippi,1900,27/sq mi (10/km2),19564,19562,19485,19385,19145,19110,18820,18665,18551,18467,18328,18174
Benton County,Mississippi,1050,21/sq mi (8.2/km2),8729,8728,8694,8715,8644,8493,8295,8155,8247,8255,8243,8259
Bolivar County,Mississippi,2270,38/sq mi (15/km2),34145,34153,34106,33807,33997,33979,33818,33230,32549,31718,31115,30628
Calhoun County,Mississippi,1520,25/sq mi (9.8/km2),14962,14957,14968,14905,14829,14708,14699,14639,14553,14508,14432,14361
Carroll County,Mississippi,1630,17/sq mi (6.4/km2),10597,10597,10602,10435,10400,10323,10235,10203,10186,10094,9920,9947
Chickasaw County,Mississippi,1300,35/sq mi (13/km2),17392,17392,17440,17500,17502,17384,17404,17395,17224,17144,17100,17103
Choctaw County,Mississippi,1080,20/sq mi (7.9/km2),8547,8551,8572,8450,8428,8461,8388,8372,8299,8240,8265,8210
Claiborne County,Mississippi,1260,19/sq mi (7.4/km2),9604,9597,9581,9780,9353,9143,9167,9209,9152,9026,9072,8988
Clarke County,Mississippi,1790,24/sq mi (9.3/km2),16732,16728,16727,16695,16529,16417,16276,16022,15896,15805,15585,15541
Clay County,Mississippi,1100,50/sq mi (19/km2),20634,20648,20560,20496,20397,20355,20146,20005,19854,19621,19404,19316
Coahoma County,Mississippi,1430,45/sq mi (17/km2),26151,26145,26106,25851,25616,25182,24840,24500,23834,23214,22605,22124
Copiah County,Mississippi,2010,38/sq mi (15/km2),29449,29448,29434,29278,29047,28941,28977,28865,28647,28528,28400,28065
Covington County,Mississippi,1070,47/sq mi (18/km2),19568,19573,19577,19485,19443,19208,19151,19243,19174,19014,18825,18636
DeSoto County,Mississippi,1230,320/sq mi (130/km2),161252,161267,161778,164075,166426,168370,170760,173271,175721,179005,181932,184945
Forrest County,Mississippi,1210,160/sq mi (62/km2),74934,74862,74941,75790,76412,76584,75822,75593,75564,75155,74912,74897
Franklin County,Mississippi,1460,14/sq mi (5.5/km2),8118,8118,8110,7984,7901,7876,7775,7729,7709,7754,7758,7713
George County,Mississippi,1240,47/sq mi (18/km2),22578,22583,22655,22856,22915,23213,23321,23378,23645,23951,24110,24500
Greene County,Mississippi,1850,20/sq mi (7.7/km2),14400,14391,14389,14323,14333,14288,14340,13549,13566,13529,13996,13586
Grenada County,Mississippi,1090,49/sq mi (19/km2),21906,21898,21835,21603,21614,21529,21596,21444,21219,21037,20984,20758
Hancock County,Mississippi,1230,79/sq mi (31/km2),43929,44023,44089,44744,45263,45522,45980,46305,46643,46949,47278,47632
Harrison County,Mississippi,1490,190/sq mi (74/km2),187105,187109,187859,191070,193540,196134,198340,200674,202504,204966,206284,208080
Hinds County,Mississippi,870,110/km2 (280/sq mi),245285,245364,245720,248205,247997,246250,245291,244216,242176,239929,235824,231840
Holmes County,Mississippi,1960,25/sq mi (9.7/km2),19198,19483,19405,19081,18919,18802,18510,18367,18017,17849,17444,17010
Humphreys County,Mississippi,1080,22/sq mi (8.4/km2),9375,9373,9334,9315,9211,8963,8793,8705,8588,8333,8256,8064
Issaquena County,Mississippi,1070,3.2/sq mi (1.2/km2),1406,1399,1386,1388,1396,1406,1387,1337,1326,1341,1307,1327
Itawamba County,Mississippi,1380,43/sq mi (17/km2),23401,23401,23419,23269,23299,23373,23397,23543,23416,23499,23461,23390
Jackson County,Mississippi,1870,130/sq mi (52/km2),139668,139669,139469,140029,139949,140324,141432,141354,141535,142246,143127,143617
Jasper County,Mississippi,1750,25/sq mi (9.7/km2),17062,17073,17018,16862,16564,16496,16536,16554,16588,16574,16425,16383
Jefferson County,Mississippi,1300,15/sq mi (5.7/km2),7726,7732,7721,7595,7679,7655,7579,7503,7312,7227,7093,6990
Jefferson Davis County,Mississippi,1060,31/sq mi (12/km2),12487,12471,12462,12161,12067,11944,11815,11632,11436,11284,11215,11128
Jones County,Mississippi,1800,97/sq mi (37/km2),67761,67768,67809,67927,68419,68954,68396,68629,68473,68364,68196,68098
Kemper County,Mississippi,1980,14/sq mi (5.3/km2),10456,10438,10449,10289,10389,10294,10222,10111,10035,10093,9733,9742
Lafayette County,Mississippi,1640,70/sq mi (27/km2),47351,47361,47568,48403,50221,51565,52032,52736,53476,54178,53542,54019
Lamar County,Mississippi,1290,110/sq mi (43/km2),55658,55732,56104,57375,58143,59170,60153,60966,61364,61536,62637,63343
Lauderdale County,Mississippi,1820,110/sq mi (43/km2),80261,80280,80396,80648,80259,80228,79266,78348,77376,76309,75238,74125
Lawrence County,Mississippi,1120,30/sq mi (11/km2),12929,12951,12928,12748,12688,12597,12623,12691,12812,12629,12448,12586
Leake County,Mississippi,1510,41/sq mi (16/km2),23805,23803,23738,23256,23195,23267,23181,22777,22789,22819,22791,22786
Lee County,Mississippi,1200,180/sq mi (71/km2),82910,82910,82880,84033,84798,84970,84763,84740,84837,85071,85276,85436
Leflore County,Mississippi,1540,53/sq mi (21/km2),32317,32382,32418,32065,30793,30746,30707,30241,29779,29292,28616,28183
Lincoln County,Mississippi,1520,59/sq mi (23/km2),34869,34866,34896,34871,34846,34725,34733,34522,34375,34340,34210,34153
Lowndes County,Mississippi,1310,120/sq mi (45/km2),59779,59779,59796,59615,59604,59803,59804,59697,59549,59147,58760,58595
Madison County,Mississippi,1850,130/sq mi (50/km2),95203,95203,95538,96956,98059,99485,100841,102453,103852,104584,105648,106272
Marion County,Mississippi,1400,49/sq mi (19/km2),27088,27080,26992,26672,26326,26055,25674,25412,25106,25108,24752,24573
Marshall County,Mississippi,1830,52/sq mi (20/km2),37144,37151,37062,36756,36551,36457,36173,35891,35785,35590,35436,35294
Monroe County,Mississippi,1980,48/sq mi (18/km2),36989,36979,36922,36606,36409,36148,36055,35823,35897,35851,35543,35252
Montgomery County,Mississippi,1050,27/sq mi (10/km2),10925,10933,10898,10775,10604,10579,10363,10195,10235,10143,9994,9775
Neshoba County,Mississippi,1500,52/sq mi (20/km2),29676,29692,29695,29757,29742,29533,29460,29481,29473,29435,29151,29118
Newton County,Mississippi,1500,37/sq mi (14/km2),21720,21715,21659,21419,21495,21518,21706,21569,21461,21396,21355,21018
Noxubee County,Mississippi,1800,16/sq mi (6.4/km2),11545,11546,11482,11295,11153,11055,11067,10942,10879,10711,10550,10417
Oktibbeha County,Mississippi,1190,100/sq mi (40/km2),47671,47657,47723,47764,48822,49105,49061,49510,49534,49678,49249,49587
Panola County,Mississippi,1770,49/sq mi (19/km2),34707,34698,34640,34475,34425,34395,34450,34202,34241,34158,34156,34192
Pearl River County,Mississippi,2100,68/sq mi (26/km2),55834,55739,55693,55441,54999,54833,55121,54944,55037,55255,55323,55535
Perry County,Mississippi,1680,19/sq mi (7.3/km2),12250,12251,12234,12151,11996,12009,12053,12071,12056,12014,11918,11973
Pike County,Mississippi,1060,98/sq mi (38/km2),40404,40401,40441,40433,40089,39939,39948,39890,39592,39510,39380,39288
Pontotoc County,Mississippi,1290,60/sq mi (23/km2),29957,29946,30047,29773,30295,30667,30783,30857,31470,31709,31881,32174
Prentiss County,Mississippi,1070,60/sq mi (23/km2),25276,25274,25225,25359,25354,25467,25405,25440,25405,25215,25088,25126
Quitman County,Mississippi,1050,20/sq mi (7.8/km2),8223,8222,8158,8056,7803,7818,7690,7511,7368,7208,7055,6792
Rankin County,Mississippi,2010,180/sq mi (68/km2),141617,142052,142515,144207,145809,147321,148426,149447,151514,152904,154250,155271
Scott County,Mississippi,1580,46/sq mi (18/km2),28264,28260,28335,28377,28355,28328,28543,28432,28351,28436,28319,28124
Sharkey County,Mississippi,1120,11/sq mi (4.4/km2),4916,4916,4886,4875,4786,4677,4611,4563,4513,4415,4375,4321
Simpson County,Mississippi,1530,47/sq mi (18/km2),27503,27500,27526,27405,27424,27531,27512,27169,26992,26905,26717,26658
Smith County,Mississippi,1650,26/sq mi (10.0/km2),16491,16488,16498,16527,16337,16229,16210,16079,15949,16073,16029,15916
Stone County,Mississippi,1150,40/sq mi (15/km2),17786,17790,17907,17901,18051,17960,18089,18271,18183,18593,17997,18336
Sunflower County,Mississippi,1810,42/sq mi (16/km2),29450,29383,28981,28521,28407,27906,27405,26877,26493,26142,26211,25110
Tallahatchie County,Mississippi,1670,24/sq mi (9.1/km2),15378,15385,15339,15312,15013,14942,14685,14582,14342,14094,13961,13809
Tate County,Mississippi,1050,70/sq mi (27/km2),28886,28872,28987,28742,28526,28347,28248,28465,28306,28581,28347,28321
Tippah County,Mississippi,1190,48/sq mi (19/km2),22232,22232,22184,22038,21911,21999,21972,22018,22063,21953,22039,22015
Tishomingo County,Mississippi,1100,44/sq mi (17/km2),19593,19603,19629,19635,19618,19504,19427,19481,19442,19518,19383,19383
Tunica County,Mississippi,1180,22/sq mi (8.7/km2),10778,10778,10765,10590,10438,10454,10496,10264,10139,9984,9922,9632
Union County,Mississippi,1080,65/sq mi (25/km2),27134,27143,27151,27315,27349,27771,28157,28311,28308,28486,28615,28815
Walthall County,Mississippi,1050,38/sq mi (15/km2),15443,15440,15396,15372,15068,14852,14842,14601,14556,14505,14436,14286
Warren County,Mississippi,1530,79/sq mi (30/km2),48773,48770,48834,48318,48215,48289,47941,47481,46958,46682,46093,45381
Washington County,Mississippi,1880,67/sq mi (26/km2),51137,51135,51097,50455,50019,49661,49008,47959,47183,46197,45036,43909
Wayne County,Mississippi,2100,25/sq mi (9.8/km2),20747,20747,20772,20618,20616,20461,20456,20497,20460,20430,20296,20183
Webster County,Mississippi,1090,24/sq mi (9.4/km2),10253,10264,10268,10192,10088,9947,9995,9873,9758,9732,9788,9689
Wilkinson County,Mississippi,1760,14/sq mi (5.5/km2),9878,9878,9863,9583,9458,9340,9187,9089,9020,8855,8781,8630
Winston County,Mississippi,1570,31/sq mi (12/km2),19198,19201,19203,19044,18977,18757,18601,18447,18340,18237,18164,17955
Yalobusha County,Mississippi,1210,26/sq mi (9.9/km2),12678,12678,12626,12518,12390,12377,12306,12458,12461,12449,12361,12108
Yazoo County,Mississippi,2390,30/sq mi (12/km2),28065,28065,28134,28277,28330,27995,27800,27411,27972,28659,29093,29690
Adair County,Missouri,1470,45/sq mi (17/km2),25607,25606,25625,25657,25675,25703,25521,25353,25244,25429,25476,25343
Andrew County,Missouri,1120,40/sq mi (15/km2),17291,17296,17344,17199,17311,17305,17282,17314,17351,17474,17662,17712
Atchison County,Missouri,1420,10/sq mi (4.0/km2),5685,5683,5656,5573,5513,5422,5357,5295,5281,5243,5183,5143
Audrain County,Missouri,1790,37/sq mi (14/km2),25529,25531,25453,25527,25524,25545,25816,25950,25870,25590,25423,25388
Barry County,Missouri,2020,45/sq mi (17/km2),35597,35601,35555,35347,35333,35331,35321,35293,35226,35631,35712,35789
Barton County,Missouri,1530,21/sq mi (8.0/km2),12402,12396,12383,12342,12294,12175,11981,11825,11825,11793,11790,11754
Bates County,Missouri,2170,20/sq mi (7.7/km2),17049,17047,17028,16965,16616,16428,16515,16362,16351,16293,16304,16172
Benton County,Missouri,1820,25/sq mi (9.8/km2),19056,19057,19096,19033,18991,18941,18877,18791,18934,19072,19297,19443
Bollinger County,Missouri,1600,20/sq mi (7.7/km2),12363,12358,12342,12376,12442,12481,12415,12316,12205,12280,12189,12133
Boone County,Missouri,1770,240/sq mi (91/km2),162642,162652,163203,166257,168807,170975,172799,174404,176315,178012,179061,180463
Buchanan County,Missouri,1060,210/sq mi (83/km2),89201,89191,89072,89728,89930,89826,89600,89082,89032,88660,88163,87364
Butler County,Missouri,1800,61/sq mi (24/km2),42794,42792,42786,42990,42986,42961,42849,42829,42769,42618,42587,42478
Caldwell County,Missouri,1100,22/sq mi (8.5/km2),9424,9418,9428,9278,9088,9040,8998,9002,9043,9059,9071,9020
Callaway County,Missouri,2160,52/sq mi (20/km2),44332,44331,44310,44304,44399,44528,44633,44699,45069,44982,44954,44743
Camden County,Missouri,1700,62/sq mi (24/km2),44002,44016,44078,43824,44197,44294,44555,44735,44906,45473,45913,46305
Cape Girardeau County,Missouri,1500,130/sq mi (50/km2),75674,75674,75899,76614,77051,77458,77907,78238,78445,78261,78638,78871
Carroll County,Missouri,1800,13/sq mi (5.1/km2),9295,9294,9282,9253,9078,9055,8956,8879,8844,8779,8726,8679
Carter County,Missouri,1310,12/sq mi (4.8/km2),6265,6267,6294,6332,6273,6343,6286,6280,6210,6179,6083,5982
Cass County,Missouri,1810,140/sq mi (55/km2),99478,99500,99754,99998,100435,100676,100828,101339,102622,103477,104769,105780
Cedar County,Missouri,1230,28/sq mi (11/km2),13982,13982,13969,13912,13909,13773,13784,13782,13876,14070,14136,14349
Chariton County,Missouri,1950,10/sq mi (3.9/km2),7831,7811,7831,7738,7673,7634,7670,7576,7501,7457,7457,7426
Christian County,Missouri,1460,140/sq mi (53/km2),77422,77414,77841,78649,79658,80621,81820,83077,84184,85392,87044,88595
Clark County,Missouri,1310,14/sq mi (5.4/km2),7139,7129,7135,7025,6965,6898,6886,6808,6739,6720,6833,6797
Clay County,Missouri,1030,540/sq mi (210/km2),221939,221906,222650,225243,227579,230306,233008,235161,238583,242527,246360,249948
Clinton County,Missouri,1090,49/sq mi (19/km2),20743,20743,20740,20678,20560,20562,20261,20581,20548,20551,20435,20387
Cole County,Missouri,1020,190/sq mi (73/km2),75990,75975,76150,76495,76477,76722,76647,76818,76702,76632,76720,76745
Cooper County,Missouri,1460,31/sq mi (12/km2),17601,17604,17603,17554,17537,17610,17564,17614,17702,17647,17626,17709
Crawford County,Missouri,1920,33/sq mi (13/km2),24696,24719,24630,24815,24780,24530,24633,24511,24265,24107,23968,23920
Dade County,Missouri,1300,16/sq mi (6.0/km2),7883,7879,7839,7766,7558,7531,7596,7574,7606,7586,7564,7561
Dallas County,Missouri,1400,31/sq mi (12/km2),16777,16769,16722,16687,16694,16458,16335,16344,16381,16699,16782,16878
Daviess County,Missouri,1460,15/sq mi (5.7/km2),8433,8429,8449,8295,8299,8300,8322,8283,8224,8358,8334,8278
DeKalb County,Missouri,1090,30/sq mi (12/km2),12892,12884,12895,12813,12777,12628,12539,12540,12496,12532,12515,12547
Dent County,Missouri,1950,21/sq mi (8.0/km2),15657,15692,15740,15621,15658,15742,15635,15656,15454,15497,15547,15573
Douglas County,Missouri,2110,17/sq mi (6.5/km2),13684,13686,13651,13632,13574,13440,13521,13356,13353,13276,13359,13185
Dunklin County,Missouri,1400,58/sq mi (23/km2),31953,31957,31950,32010,31841,31724,31303,30844,30562,30121,29478,29131
Franklin County,Missouri,2390,110/sq mi (42/km2),101492,101468,101428,101618,101329,101712,101915,102251,102704,103315,103716,103967
Gasconade County,Missouri,1340,29/sq mi (11/km2),15222,15206,15202,15071,14907,14806,14804,14742,14746,14683,14680,14706
Gentry County,Missouri,1270,14/sq mi (5.3/km2),6738,6740,6750,6823,6769,6736,6757,6654,6624,6634,6598,6571
Greene County,Missouri,1750,410/sq mi (160/km2),275174,275179,275309,277446,280447,283605,285241,287312,287818,289512,291054,293086
Grundy County,Missouri,1130,23/sq mi (9.0/km2),10261,10260,10253,10252,10331,10346,10182,10031,10111,9991,9975,9850
Harrison County,Missouri,1870,12/sq mi (4.8/km2),8957,8961,8967,8885,8724,8710,8632,8622,8579,8506,8394,8352
Henry County,Missouri,1810,30/sq mi (12/km2),22272,22291,22264,22253,22225,22116,22048,21725,21625,21695,21808,21824
Hickory County,Missouri,1030,23/sq mi (9.0/km2),9627,9629,9646,9615,9443,9347,9292,9266,9356,9395,9458,9544
Holt County,Missouri,1200,10/sq mi (4.0/km2),4912,4912,4915,4839,4680,4591,4530,4483,4453,4407,4412,4403
Howard County,Missouri,1200,21/sq mi (8.3/km2),10144,10142,10141,10219,10196,10239,10129,10134,10032,10066,10059,10001
Howell County,Missouri,2400,44/sq mi (17/km2),40400,40386,40552,40584,40537,40236,40122,40070,40132,40074,40126,40117
Iron County,Missouri,1400,19/sq mi (7.4/km2),10630,10615,10592,10620,10548,10461,10362,10203,10123,10181,10187,10125
Jackson County,Missouri,1560,"1,100/sq mi (420/km2)",674158,674166,674845,675553,677417,679841,683014,686783,692430,698072,700784,703011
Jasper County,Missouri,1650,189.08/sq mi (73.00/km2),117404,117391,117656,115283,115770,116766,117742,118548,119219,120048,120455,121328
Jefferson County,Missouri,1700,330/sq mi (130/km2),218733,218722,219128,219594,219853,220870,222006,223116,223377,223769,224410,225081
Johnson County,Missouri,2150,63/sq mi (24/km2),52595,52565,52686,53297,54124,54139,54010,53496,53497,53735,53621,54062
Knox County,Missouri,1310,8.1/sq mi (3.1/km2),4131,4131,4125,4125,4090,4060,3993,3907,3933,3970,3965,3959
Laclede County,Missouri,1980,46/sq mi (18/km2),35571,35596,35700,35668,35482,35654,35530,35469,35450,35418,35596,35723
Lafayette County,Missouri,1630,52/sq mi (20/km2),33381,33369,33381,33207,33054,32823,32619,32624,32534,32579,32542,32708
Lawrence County,Missouri,1590,63/sq mi (24/km2),38634,38647,38591,38502,38382,38104,37903,37981,38164,38256,38264,38355
Lewis County,Missouri,1310,20/sq mi (7.7/km2),10211,10209,10210,10220,10119,10111,10099,10138,10072,9952,9839,9776
Lincoln County,Missouri,1620,82/sq mi (32/km2),52566,52536,52674,53051,53265,53785,54170,54567,55146,56045,57613,59013
Linn County,Missouri,1600,21/sq mi (7.9/km2),12761,12773,12774,12601,12488,12330,12320,12293,12146,12168,12039,11920
Livingston County,Missouri,1380,28/sq mi (11/km2),15195,15196,15128,15120,14997,14874,15006,14938,15127,15157,15181,15227
McDonald County,Missouri,1400,43/sq mi (17/km2),23083,23083,23072,22891,22966,22629,22820,22683,22705,22722,22963,22837
Macon County,Missouri,2070,19/sq mi (7.4/km2),15566,15566,15593,15486,15563,15475,15449,15284,15164,15262,15167,15117
Madison County,Missouri,1280,25/sq mi (9.5/km2),12226,12217,12197,12256,12373,12270,12192,12178,12213,12230,12188,12088
Maries County,Missouri,1360,17/sq mi (6.7/km2),9176,9153,9162,9171,9022,9037,9001,8936,8821,8790,8770,8697
Marion County,Missouri,1130,65/sq mi (25/km2),28781,28781,28787,28786,28746,28769,28766,28697,28689,28585,28540,28530
Mercer County,Missouri,1180,8.3/sq mi (3.2/km2),3785,3785,3770,3774,3708,3664,3683,3660,3661,3656,3626,3617
Miller County,Missouri,1540,41/sq mi (16/km2),24748,24748,24716,24718,24582,24812,24833,24872,24998,25202,25315,25619
Mississippi County,Missouri,1070,33/sq mi (13/km2),14358,14376,14330,14234,14274,14174,14175,13965,13738,13594,13394,13180
Moniteau County,Missouri,1070,37/sq mi (14/km2),15607,15605,15626,15706,15669,15742,15809,15873,15991,16047,16186,16132
Monroe County,Missouri,1680,13/sq mi (5.1/km2),8840,8844,8786,8683,8692,8770,8737,8637,8633,8596,8636,8644
Montgomery County,Missouri,1390,23/sq mi (8.7/km2),12236,12224,12207,12202,11965,11847,11718,11572,11447,11378,11488,11551
Morgan County,Missouri,1550,33/sq mi (13/km2),20565,20567,20543,20378,20082,20122,20074,20065,20089,20162,20414,20627
New Madrid County,Missouri,1750,27/sq mi (11/km2),18956,18940,18934,18764,18471,18316,18229,18067,17839,17544,17272,17076
Newton County,Missouri,1620,93/sq mi (36/km2),58114,58118,58177,58563,58637,58378,58127,58138,58178,58191,58158,58236
Nodaway County,Missouri,2270,27/sq mi (10/km2),23370,23373,23401,23433,23327,23151,22981,22625,22455,22401,22223,22092
Oregon County,Missouri,2000,14/sq mi (5.3/km2),10881,10881,10935,11044,10966,10927,10823,10850,10746,10553,10558,10529
Osage County,Missouri,1560,23/sq mi (8.8/km2),13878,13909,13905,13908,13846,13677,13638,13538,13613,13658,13652,13615
Ozark County,Missouri,1930,13/sq mi (5.0/km2),9723,9728,9746,9647,9593,9503,9439,9364,9199,9227,9070,9174
Pemiscot County,Missouri,1280,36/sq mi (14/km2),18296,18287,18261,18185,18075,17774,17564,17410,17060,16783,16256,15805
Perry County,Missouri,1230,39/sq mi (15/km2),18971,18971,18938,19008,19001,19053,19118,19068,19216,19262,19274,19136
Pettis County,Missouri,1770,62/sq mi (24/km2),42201,42214,42274,42155,42304,42196,42200,42300,42249,42445,42441,42339
Phelps County,Missouri,1740,67/sq mi (26/km2),45156,45124,45294,45246,45230,45006,44925,44766,44708,44551,44551,44573
Pike County,Missouri,1700,27/sq mi (10/km2),18516,18511,18476,18661,18552,18608,18497,18409,18507,18557,18502,18302
Platte County,Missouri,1100,210/sq mi (81/km2),89322,89329,89702,90880,92151,93367,94859,96445,98641,101141,102764,104418
Polk County,Missouri,1650,49/sq mi (19/km2),31137,31130,31157,31202,31082,31117,31118,31256,31380,31742,32214,32149
Pulaski County,Missouri,1420,95/sq mi (37/km2),52274,52282,52859,53297,53475,54077,53550,53204,52456,51862,51997,52607
Putnam County,Missouri,1340,9.6/sq mi (3.7/km2),4979,4979,4974,4976,4945,4884,4843,4860,4825,4778,4748,4696
Ralls County,Missouri,1200,21/sq mi (8.1/km2),10167,10175,10193,10275,10226,10164,10276,10169,10230,10226,10234,10309
Randolph County,Missouri,1250,52/sq mi (20/km2),25414,25418,25458,25282,25334,24945,25050,25041,24970,24899,24732,24748
Ray County,Missouri,1470,41/sq mi (16/km2),23494,23516,23517,23346,23081,23064,22936,22793,22741,22877,22945,23018
Reynolds County,Missouri,2090,8.2/sq mi (3.2/km2),6696,6690,6676,6565,6548,6454,6400,6292,6347,6260,6282,6270
Ripley County,Missouri,1600,22/sq mi (8.6/km2),14100,14106,14102,14140,14028,13985,13932,13788,13775,13565,13420,13288
St. Charles County,Missouri,1500,610/sq mi (230/km2),360485,360495,361803,365582,369111,374288,379844,384978,390541,395130,398780,402022
St. Clair County,Missouri,1700,14/sq mi (5.4/km2),9805,9805,9823,9693,9527,9487,9432,9411,9288,9365,9389,9397
Ste. Genevieve County,Missouri,1290,36/sq mi (14/km2),18145,18147,18127,18196,17868,17951,17936,17804,17875,17792,17877,17894
St. Francois County,Missouri,1170,140/sq mi (55/km2),65359,65369,65529,65590,65803,66102,65784,66232,66356,66674,66737,67215
St. Louis County,Missouri,1320,"1,900/sq mi (740/km2)",998954,998985,998840,1000040,1000761,1000456,1000528,1001109,997837,996227,995219,994205
Saline County,Missouri,1960,30/sq mi (12/km2),23370,23370,23420,23406,23544,23355,23398,23226,23095,22910,22890,22761
Schuyler County,Missouri,800,14/sq mi (5.6/km2),4431,4431,4441,4389,4387,4370,4392,4500,4501,4518,4594,4660
Scotland County,Missouri,1130,11/sq mi (4.3/km2),4843,4853,4840,4835,4865,4893,4840,4821,4902,4948,4938,4902
Scott County,Missouri,1100,92/sq mi (36/km2),39191,39199,39261,39147,39161,39207,38868,39007,38760,38576,38541,38280
Shannon County,Missouri,2600,8.4/sq mi (3.2/km2),8441,8435,8443,8412,8332,8288,8293,8273,8222,8235,8189,8166
Shelby County,Missouri,1300,13/sq mi (4.9/km2),6373,6372,6365,6235,6216,6152,6092,6101,6044,5995,5997,5930
Stoddard County,Missouri,2130,36/sq mi (14/km2),29968,29968,30027,29851,29814,29795,29785,29736,29498,29364,29264,29025
Stone County,Missouri,1200,63/sq mi (24/km2),32202,32208,32235,32118,31893,31658,31445,31307,31471,31642,31701,31952
Sullivan County,Missouri,1680,10/sq mi (4.0/km2),6714,6714,6737,6663,6556,6497,6472,6366,6333,6212,6233,6089
Taney County,Missouri,1640,79/sq mi (31/km2),51675,51672,51902,52652,52901,53255,53810,54216,54608,55100,55719,55928
Texas County,Missouri,3050,22/sq mi (8.5/km2),26008,26016,26042,25928,25791,25685,25659,25660,25805,25650,25506,25398
Vernon County,Missouri,2140,25/sq mi (9.8/km2),21159,21163,21159,21084,20930,20978,20983,20758,20653,20507,20492,20563
Warren County,Missouri,1110,74/sq mi (29/km2),32513,32539,32605,32604,32738,32980,33180,33532,33871,34448,34766,35649
Washington County,Missouri,2000,33/sq mi (13/km2),25195,25201,25201,25105,25088,25144,25079,24793,24852,24994,24933,24730
Wayne County,Missouri,1970,17/sq mi (6.7/km2),13521,13535,13519,13425,13408,13475,13481,13431,13236,13303,13132,12873
Webster County,Missouri,1540,67/sq mi (26/km2),36202,36264,36320,36448,36448,36626,37042,37604,38154,38745,39179,39592
Worth County,Missouri,690,8.1/sq mi (3.1/km2),2171,2169,2152,2118,2080,2079,2054,2042,2015,2041,2026,2013
Wright County,Missouri,1770,28/sq mi (11/km2),18815,18742,18779,18572,18556,18333,18198,18146,18185,18210,18187,18289
St. Louis city,Missouri,160,"4,800/sq mi (1,900/km2)",319294,319289,319336,319344,319416,318476,317399,316010,312633,308233,303419,300576
Beaverhead County,Montana,14350,1.7/sq mi (0.64/km2),9246,9246,9255,9210,9359,9306,9337,9295,9463,9450,9412,9453
Big Horn County,Montana,12940,2.6/sq mi (0.99/km2),12865,12863,12911,13056,12995,13117,13343,13312,13458,13483,13365,13319
Blaine County,Montana,10950,1.5/sq mi (0.59/km2),6491,6491,6503,6575,6680,6637,6710,6680,6716,6745,6774,6681
Broadwater County,Montana,3090,4.5/sq mi (1.7/km2),5612,5608,5633,5726,5759,5676,5653,5714,5785,5917,6072,6237
Carbon County,Montana,5310,4.9/sq mi (1.9/km2),10078,10078,10063,10089,10141,10337,10438,10403,10485,10680,10691,10725
Carter County,Montana,8650,0.35/sq mi (0.13/km2),1160,1160,1159,1136,1157,1152,1150,1147,1175,1223,1230,1252
Cascade County,Montana,6990,30/sq mi (12/km2),81327,81326,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366
